,MSSubClass,MSZoning,LotShape,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Foundation,BsmtQual,BsmtExposure,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,SaleCondition,TotalFlrsF
0,0.2352941176470588,0.75,0.0,0.625,0.6666666666666665,0.5,0.0983606557377049,0.2,1.0,0.75,0.25,1.0,1.0,0.5777122882260084,0.3333333333333333,0.6666666666666666,0.0,0.2,0.8333333333333333,0.6666666666666666,0.5,0.386459802538787,1.0,0.8,0.5777122882260084
1,0.0,0.75,0.0,0.8333333333333333,0.5555555555555556,0.875,0.5245901639344263,0.2,0.4,0.75,1.0,1.0,1.0,0.4702445078729567,0.0,0.3333333333333333,0.3333333333333333,0.6000000000000001,0.8333333333333333,0.6666666666666666,0.5,0.3244005641748942,1.0,0.8,0.4702445078729567
2,0.2352941176470588,0.75,0.3333333333333333,0.625,0.6666666666666665,0.5,0.1147540983606557,0.2,1.0,0.75,0.5,1.0,1.0,0.59309515868294,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,0.8333333333333333,0.6666666666666666,0.5,0.4287729196050776,1.0,0.8,0.59309515868294
3,0.2941176470588235,0.75,0.3333333333333333,0.7083333333333333,0.6666666666666665,0.5,0.6065573770491803,0.2,0.2,0.5,0.25,0.75,1.0,0.5791574328965412,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.3333333333333333,0.3333333333333333,0.75,0.4527503526093089,1.0,0.2,0.5791574328965412
4,0.2352941176470588,0.75,0.3333333333333333,1.0,0.7777777777777777,0.5,0.1475409836065573,0.2,1.0,0.75,0.75,1.0,1.0,0.6665228823649914,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,0.8333333333333333,0.6666666666666666,0.75,0.5895627644569816,1.0,0.8,0.6665228823649914
5,0.1764705882352941,0.75,0.3333333333333333,0.4583333333333333,0.4444444444444445,0.5,0.2459016393442623,0.2,0.8,0.75,0.25,1.0,1.0,0.4972202460326831,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8333333333333333,0.3333333333333333,0.5,0.3385049365303244,1.0,0.8,0.4972202460326831
6,0.0,0.75,0.0,0.7916666666666666,0.7777777777777777,0.5,0.0491803278688524,0.2,1.0,1.0,0.75,1.0,1.0,0.574386761705187,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.8333333333333333,0.6666666666666666,0.5,0.4485190409026798,1.0,0.8,0.574386761705187
7,0.2352941176470588,0.75,0.3333333333333333,0.5416666666666666,0.6666666666666665,0.625,0.6065573770491803,0.2,0.4,0.75,0.5,1.0,1.0,0.6486996026216678,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.8333333333333333,0.6666666666666666,0.5,0.3413258110014104,1.0,0.8,0.6486996026216678
8,0.1764705882352941,0.25,0.0,0.1666666666666666,0.6666666666666665,0.5,0.9672131147540984,0.2,0.2,0.5,0.25,0.75,1.0,0.5907103163127223,0.0,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.5,0.3300423131170663,1.0,0.2,0.5907103163127223
9,1.0,0.75,0.0,0.125,0.4444444444444445,0.625,0.9672131147540984,0.2,0.2,0.5,0.25,1.0,1.0,0.4141685917812125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.8333333333333333,0.6666666666666666,0.25,0.1445698166431593,1.0,0.8,0.4141685917812125
10,0.0,0.75,0.0,0.25,0.4444444444444445,0.5,0.7213114754098361,0.8,0.4,0.5,0.25,1.0,1.0,0.4018019472209433,0.3333333333333333,0.3333333333333333,0.0,0.2,0.3333333333333333,0.3333333333333333,0.25,0.2708039492242595,1.0,0.8,0.4018019472209433
